地区,户数,,,人口数,,,,,,,,,,,,平均家庭
,合计,家庭户,集体户,合计,,,,家庭户,,,,集体户,,,,户规模
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,
,,,,,,,(女=100),,,,(女=100),,,,(女=100),(人/户)
全国,40767644,39327279,1440365,127339585,64754454,62585131,103.47,121260203,61296262,59963941,102.22,6079382,3458192,2621190,131.93,3.08
北京,717347,656398,60949,1849475,941325,908150,103.65,1614549,803211,811338,99,234926,138114,96812,142.66,2.46
天津,381613,356071,25542,1127589,581562,546027,106.51,999530,498913,500617,99.66,128059,82649,45410,182.01,2.81
河北,2075228,2036650,38578,7037620,3554766,3482854,102.06,6820615,3440565,3380050,101.79,217005,114201,102804,111.09,3.35
山西,1060530,1030689,29841,3477805,1771808,1705997,103.86,3325501,1686959,1638542,102.95,152304,84849,67455,125.79,3.23
内蒙古,810187,786412,23775,2310941,1186071,1124870,105.44,2200113,1115617,1084496,102.87,110828,70454,40374,174.5,2.8
辽宁,1507220,1475239,31981,4252076,2138602,2113474,101.19,4106657,2058682,2047975,100.52,145419,79920,65499,122.02,2.78
吉林,855764,840908,14856,2551123,1287411,1263712,101.88,2479809,1251460,1228349,101.88,71314,35951,35363,101.66,2.95
黑龙江,1196107,1180475,15632,3465051,1749344,1715707,101.96,3382985,1706240,1676745,101.76,82066,43104,38962,110.63,2.87
上海,876430,813280,63150,2253525,1151331,1102194,104.46,2040508,1020262,1020246,100,213017,131069,81948,159.94,2.51
江苏,2513876,2394749,119127,7577122,3792269,3784853,100.2,7055669,3491616,3564053,97.97,521453,300653,220800,136.17,2.95
浙江,2023512,1907711,115801,5400348,2761136,2639212,104.62,4971761,2517845,2453916,102.61,428587,243291,185296,131.3,2.61
安徽,1737088,1701808,35280,5312628,2678455,2634173,101.68,5160490,2589446,2571044,100.72,152138,89009,63129,141,3.03
福建,1143101,1074167,68934,3477491,1773098,1704393,104.03,3224299,1627894,1596405,101.97,253192,145204,107988,134.46,3
江西,1162786,1136595,26191,4251692,2188051,2063641,106.03,4121994,2115351,2006643,105.42,129698,72700,56998,127.55,3.63
山东,3065037,3002389,62648,9272503,4663609,4608894,101.19,8957875,4490242,4467633,100.51,314628,173367,141261,122.73,2.98
河南,2634257,2592231,42026,9224288,4650716,4573572,101.69,8990181,4527553,4462628,101.45,234107,123163,110944,111.01,3.47
湖北,1657973,1612570,45403,5226904,2658892,2568012,103.54,5020577,2543529,2477048,102.68,206327,115363,90964,126.82,3.11
湖南,1851728,1819796,31932,6096586,3114294,2982292,104.43,5936045,3026965,2909080,104.05,160541,87329,73212,119.28,3.26
广东,3061904,2709142,352762,9676589,5023631,4652958,107.97,8433548,4311515,4122033,104.6,1243041,712116,530925,134.13,3.11
广西,1346214,1318611,27603,4362551,2249997,2112554,106.51,4229065,2177741,2051324,106.16,133486,72256,61230,118.01,3.21
海南,225581,215949,9632,826560,432579,393981,109.8,784357,409358,374999,109.16,42203,23221,18982,122.33,3.63
重庆,927176,903623,23553,2609882,1310663,1299219,100.88,2499277,1249078,1250199,99.91,110605,61585,49020,125.63,2.77
四川,2746064,2694980,51084,8161604,4120256,4041348,101.95,7915672,3981747,3933925,101.22,245932,138509,107423,128.94,2.94
贵州,1020801,1006101,14700,3332265,1714400,1617865,105.97,3264115,1674275,1589840,105.31,68150,40125,28025,143.18,3.24
云南,1274445,1242407,32038,4467537,2300361,2167176,106.15,4338187,2224973,2113214,105.29,129350,75388,53962,139.71,3.49
西藏,69818,68406,1412,265904,134009,131895,101.6,260409,130552,129857,100.54,5495,3457,2038,169.63,3.81
陕西,1116961,1083963,32998,3614887,1848641,1766246,104.66,3458563,1760419,1698144,103.67,156324,88222,68102,129.54,3.19
甘肃,735433,718069,17364,2623094,1330609,1292485,102.95,2539025,1282051,1256974,102,84069,48558,35511,136.74,3.54
青海,153077,148464,4613,535412,273891,261521,104.73,515427,260647,254780,102.3,19985,13244,6741,196.47,3.47
宁夏,186227,180789,5438,611957,311355,300602,103.58,589422,297383,292039,101.83,22535,13972,8563,163.17,3.26
新疆,634159,618637,15522,2086576,1061322,1025254,103.52,2023978,1024173,999805,102.44,62598,37149,25449,145.97,3.27
